"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2020","2020","2020","date",0,5,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",4078263,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957697d0d6d20100",282,560
"2020","2020","2020","date",0,5,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",4394263,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957697d0d7d20100",283,560
"2020","2020","2020","date",0,5,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"8","Aged 30-34","8","5 year age band",2000,4,"20100","Value",4584222,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957697d0d8d20100",284,560
"2020","2020","2020","date",0,5,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"9","Aged 35-39","9","5 year age band",2000,5,"20100","Value",4448862,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957697d0d9d20100",285,560
"2020","2020","2020","date",0,5,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"10","Aged 40-44","10","5 year age band",2000,6,"20100","Value",4140330,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957697d0d10d20100",286,560
"2020","2020","2020","date",0,5,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"11","Aged 45-49","11","5 year age band",2000,7,"20100","Value",4349783,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957697d0d11d20100",287,560
"2020","2020","2020","date",0,5,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",64839344,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957698d0d200d20100",288,560
"2020","2020","2020","date",0,5,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"1","Age 0 - 4","1","5 year age band",2000,1,"20100","Value",3559491,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957698d0d1d20100",289,560
"2020","2020","2020","date",0,5,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",3965290,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957698d0d6d20100",290,560
"2020","2020","2020","date",0,5,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",4276713,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957698d0d7d20100",291,560
"2020","2020","2020","date",0,5,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"8","Aged 30-34","8","5 year age band",2000,4,"20100","Value",4457943,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957698d0d8d20100",292,560
